score1,score2,exam.passed
61.83,50.256,0
82.227,42.72,0
33.916,98.869,0
42.262,87.104,1
89.798,54.158,1
39.538,76.037,0
66.561,41.092,0
89.846,45.358,1
52.108,63.128,0
95.865,95.089,1
35.286,47.021,0
79.945,74.163,1
76.099,87.421,1
75.788,85.002,1
70.571,95.853,1
84.692,85.127,1
88.022,96.95,1
56.714,45.664,1
64.642,94.352,1
54.166,86.854,1
73.371,86.694,1
83.902,56.308,1
50.286,49.805,0
85.405,57.052,1
94.919,52.204,1
95.862,38.225,0
55.278,68.679,1
99.828,72.369,1
60.458,73.095,1
70.104,59.092,1
34.525,60.396,0
59.864,74.449,1
66.747,60.991,1
42.075,78.845,0
71.796,78.454,1
93.114,38.801,0
97.738,69.95,1
96.384,66.302,1
67.372,42.838,0
74.911,77.865,1
71.038,62.7,1
69.163,75.515,0
74.493,84.845,1
89.677,65.799,1
95.236,56.833,1
96.04,83.995,1
50.918,49.793,1
93.545,92.367,1
94.443,65.569,1
75.396,85.76,1
74.776,89.53,1
67.947,46.679,0
30.287,43.895,0
46.429,54.97,1
60.456,42.508,0
81.794,70.443,1
80.322,94.94,1
64.759,92.813,1
69.07,52.74,1
53.429,65.703,1
62.223,52.061,0
77.924,68.972,1
75.237,50.283,1
75.025,46.554,1
64.868,96.458,1
75.769,94.393,1
56.193,54.232,1
6.9879,32.523,1
69.821,73.338,1
64.509,91.987,1
80.28,92.116,1
96.916,71.859,1
50.458,75.81,1
87.727,68.586,1
70.342,86.689,1
91.565,88.696,1
51.548,46.856,0
75.014,30.603,0
58.841,75.858,1
91.892,60.726,1
75.492,70.976,1
82.835,66.599,1
2.3632,61.087,0
55.623,87.66,1
80.297,97.899,0
95.62,73.856,0
82.626,77.928,1
82.307,76.482,1
58.863,59.457,0
67.325,59.176,1
77.541,53.522,1
82.541,93.566,1
4.339,49.758,0
99.948,28.327,0
61.107,96.511,1
83.489,48.38,1
20.835,81.9,0
23.224,90.945,0
59.442,55.792,0
56.865,58.116,1
50.806,69.081,1
99.315,68.775,1
97.646,68.862,1
45.083,56.316,0
70.662,92.927,1
64.97,94.725,1
74.496,76.715,1
94.835,45.694,1
49.073,51.883,0
60.165,65.534,1
80.042,51.519,1
91.05,64.941,1
54.813,41.863,0
44.668,66.45,0
79.691,61.085,1
54.635,52.214,0
52.113,83.994,1
63.36,56.476,1
85.69,95.079,0
71.39,58.826,1
89.919,85.401,1
67.319,66.589,1
41.687,52.028,0
34.624,78.025,0
90.072,53.44,1
75.478,90.425,1
82.369,40.618,0
76.237,71.275,1
75.085,57.182,1
62.771,68.992,1
64.039,78.032,1
90.846,92.789,1
35.847,72.902,0
34.212,44.21,0
75.997,58.708,1
52.348,60.77,0
52.045,69.433,1
40.237,71.168,0
56.254,39.261,0
51.048,45.823,0
68.342,88.85,1
86.422,84.336,1
32.723,43.307,0
91.686,59.992,1
68.469,85.594,1
63.387,72.009,1
65.325,79.21,1
70.248,88.574,1
64.177,80.908,1
61.669,73.087,1
60.722,79.287,1
40.997,53.069,0
99.273,60.999,1
38.786,64.996,0
64.136,60.95,1
80.367,90.96,1
75.555,84.836,1
76.979,47.576,1
50.033,71.671,1
40.746,75.442,0
12.403,80.511,0
11.081,19.343,0
64.18,87.065,1
72.346,96.228,1
92.767,90.772,1
99.459,86.431,1
84.433,43.533,1
65.574,71.561,1
78.759,71.053,1
87.687,93.994,1
98.71,67.906,1
30.059,49.593,0
62.073,96.769,1
86.974,75.095,1
81.895,85.198,1
36.9,15.572,0
95.894,77.152,1
97.772,86.728,1
77.193,70.458,1
88.914,69.804,1
37.596,42.869,1
94.094,77.159,1
74.249,69.825,1
90.226,80.562,1
63.881,92.534,1
90.023,80.367,1
77.906,91.411,1
40.629,55.984,1
12.704,68.528,0
94.798,78.384,1
80.311,52.841,1
98.098,13.378,0
69.143,50.068,1
56.129,51.357,1
56.549,92.92,1
53.971,89.207,1
44.094,62.492,0
47.264,88.476,1
32.577,95.599,0
76.658,98.983,1
84.744,62.653,1
61.379,72.808,1
57.239,59.514,1
56.185,76.18,1
34.184,75.238,0
69.365,97.719,1
55.482,35.571,0
79.579,62.351,1
79.033,75.344,1
80.19,44.822,1
20,30,1
15,24,1
17,29.3,1
